study,family,centroid
Manitoba,Acetobacteraceae,-1.3816024414866181
Manitoba,Acholeplasmataceae,-0.5041287285870796
Manitoba,Acidaminococcaceae,0.8982774724353668
Manitoba,Actinomycetaceae,-0.2657418210555901
Manitoba,Aerococcaceae,2.253094111516401
Manitoba,Aeromonadaceae,-1.4057016778752018
Manitoba,Akkermansiaceae,-1.6646820418882367
Manitoba,Alcaligenaceae,1.1780388073262564
Manitoba,Alcanivoracaceae1,-1.6733480566565437
Manitoba,Alteromonadaceae,-1.2854865780535114
Manitoba,Anaerovoracaceae,3.146132578756806
Manitoba,Arcobacteraceae,-1.6470673652066508
Manitoba,Atopobiaceae,-0.5286258325208398
Manitoba,Bacillaceae,3.0501416431967185
Manitoba,Bacteriovoracaceae,-1.4108196090861769
Manitoba,Bacteroidaceae,3.005943558598555
Manitoba,Bacteroidales RF16 group,1.7690757722004262
Manitoba,Barnesiellaceae,-1.2492605437875
Manitoba,Beijerinckiaceae,-0.6899932931244077
Manitoba,Bifidobacteriaceae,0.2922646506925698
Manitoba,Bogoriellaceae,-1.551032494784639
Manitoba,Brevibacteriaceae,-0.5847002632827677
Manitoba,Butyricicoccaceae,0.3141452842454484
Manitoba,Caldalkalibacillaceae,-1.3145020915191936
Manitoba,Campylobacteraceae,-0.7174232029571805
Manitoba,Carnobacteriaceae,1.3523777294132524
Manitoba,Caulobacteraceae,0.03090720096282026
Manitoba,Cellulomonadaceae,-0.7748616081443407
Manitoba,Cellvibrionaceae,2.0877434487806372
Manitoba,Chitinophagaceae,-0.15838337426683483
Manitoba,Christensenellaceae,3.3423035548765276
Manitoba,Clostridiaceae,1.6600355521524772
Manitoba,Comamonadaceae,3.435215445354319
Manitoba,Corynebacteriaceae,2.8934517744625596
Manitoba,Crocinitomicaceae,-0.7375456644427119
Manitoba,Cyclobacteriaceae,-1.4128485918455884
Manitoba,Defluviitaleaceae,-0.9360872294554674
Manitoba,Deinococcaceae,-1.7404484066239683
Manitoba,Demequinaceae,-0.7793885593554295
Manitoba,Dermabacteraceae,-0.3271552479584677
Manitoba,Dermatophilaceae,-1.4065036386394871
Manitoba,Desulfovibrionaceae,0.686928892215405
Manitoba,Devosiaceae,-0.15526068380195293
Manitoba,Dietziaceae,1.0393617127202683
Manitoba,Dysgonomonadaceae,-0.8069923810953502
Manitoba,Eggerthellaceae,-0.5482757968041313
Manitoba,Enterobacteriaceae,-0.1645228142355627
Manitoba,Enterococcaceae,-0.0033576160117546644
Manitoba,Erwiniaceae,-1.446911076318501
Manitoba,Erysipelatoclostridiaceae,0.04083568355983559
Manitoba,Erysipelotrichaceae,2.292911143281284
Manitoba,Exiguobacteraceae,-1.6646820418882367
