family,PC1_loading,PC2_loading
Lachnospiraceae,-0.0017195333700686273,-0.0759179834346782
Lactobacillaceae,-0.03560494567666587,0.20115016786178394
Legionellaceae,-0.009238158102307617,0.06522254640836339
Leptotrichiaceae,0.014788406479749784,0.05616629063942661
Lysobacteraceae,-0.09512690706557896,0.10312284500159698
Marinifilaceae,0.012849265226027431,0.05555298407339674
Marinilabiliaceae,0.022150155632127903,-0.017074969392655917
Methylophilaceae,-0.051038972133902905,0.10160321275905179
Microbacteriaceae,-0.04490073793210912,0.0074356044746977335
Micrococcaceae,-0.027379571525753748,-0.07839225140185979
Micrococcales Incertae Sedis,-0.017327455758048893,0.04966010350980289
Monoglobaceae,-0.07456285439313161,-0.11222834063935302
Moraxellaceae,0.01867466268519626,0.041082295758387205
Muribaculaceae,-0.12099430278450711,-0.10723125232527041
Mycobacteriaceae,-0.04018685723820803,0.1290880481565365
Mycoplasmataceae,0.08233035979275272,0.051385511181298985
Neisseriaceae,0.02152961607133821,0.041112412140869734
Nocardiaceae,-0.03159304953296676,0.05785965304467575
Nocardioidaceae,-0.033064365980924874,0.06243098624817589
Oscillospiraceae,-0.028298328383657832,-0.12723989506243197
Oxalobacteraceae,-0.013248484549340281,0.06634822285952433
p-251-o5,-0.10151283114692555,-0.08194005467291988
p-2534-18B5 gut group,-0.06121297057724437,-0.08804411147125733
Paenibacillaceae,-0.044662173273123815,0.0749739793097415
Paludibacteraceae,-0.15085174581972513,-0.03613005818429913
Paracoccaceae,0.12172304644871905,-0.29481359935087703
Pasteurellaceae,-0.04264039532746835,0.05721370704881144
Peptococcaceae,-0.02986433105799522,-0.03221039458821617
Peptostreptococcaceae,0.09515253805122752,-0.09206383828106326
Planococcaceae,-2.2317927665756388e-4,-0.01077579296795662
Porphyromonadaceae,0.2546099820788283,-0.11521759852910335
Prevotellaceae,-0.032696192334637865,-0.10362796635110642
Promicromonosporaceae,-0.032387526184183155,0.04220830022835127
Propionibacteriaceae,-0.04902449642178314,0.1503708374150297
