family,prevalence,retained
Saprospiraceae,0.14285714285714285,TRUE
Sedimentibacteraceae,0.02040816326530612,FALSE
Selenomonadaceae,0.6530612244897959,TRUE
Shewanellaceae,0.061224489795918366,FALSE
SM2D12,0.02040816326530612,FALSE
Solirubrobacteraceae,0.061224489795918366,FALSE
Sphingobacteriaceae,0.9795918367346939,TRUE
Sphingomonadaceae,0.7551020408163265,TRUE
Spirochaetaceae,0.6938775510204082,TRUE
Spirosomataceae,0.6326530612244898,TRUE
Spongiibacteraceae,0.02040816326530612,FALSE
Sporichthyaceae,0.04081632653061224,FALSE
Staphylococcaceae,1,TRUE
Steroidobacteraceae,0.04081632653061224,FALSE
Streptococcaceae,0.9591836734693877,TRUE
Streptomycetaceae,0.14285714285714285,TRUE
Streptosporangiaceae,0.061224489795918366,FALSE
Succinivibrionaceae,0.7959183673469388,TRUE
Sutterellaceae,0.6326530612244898,TRUE
Symbiobacteraceae,0.04081632653061224,FALSE
Synergistaceae,0.10204081632653061,TRUE
Tannerellaceae,0.3469387755102041,TRUE
Thermaceae,0.061224489795918366,FALSE
Thermacetogeniaceae,0,FALSE
Thermoactinomycetaceae,0.40816326530612246,TRUE
Thermomonosporaceae,0.20408163265306123,TRUE
Thermotaleaceae,0.02040816326530612,FALSE
Trueperaceae,0.10204081632653061,TRUE
UCG-010,0.9387755102040817,TRUE
UCG-011,0.20408163265306123,TRUE
Unclassified_0319-7L14,0.02040816326530612,FALSE
Unclassified_Absconditabacteriales (SR1),0.2857142857142857,TRUE
Unclassified_Actinobacteria,0.04081632653061224,FALSE
Unclassified_Actinomycetales,0.04081632653061224,FALSE
Unclassified_Actinomycetota,0.061224489795918366,FALSE
Unclassified_Alphaproteobacteria,0.14285714285714285,TRUE
Unclassified_Bacillales,0.061224489795918366,FALSE
Unclassified_Bacilli,0.5510204081632653,TRUE
Unclassified_Bacillota,0.22448979591836735,TRUE
Unclassified_Bacteria,0.7551020408163265,TRUE
Unclassified_Bacteroidales,0.7346938775510204,TRUE
Unclassified_Bacteroidetes VC2.1 Bac22,0.10204081632653061,TRUE
Unclassified_Bacteroidia,0.32653061224489793,TRUE
Unclassified_Bdellovibrionota,0.02040816326530612,FALSE
Unclassified_Berkelbacteria,0.02040816326530612,FALSE
Unclassified_Bradymonadales,0.32653061224489793,TRUE
