family,PC1_loading,PC2_loading,PC1_resistance_direction_score,PC2_resistance_direction_score,combined_direction_score
Microbacteriaceae,-0.04490073793210912,0.0074356044746977335,0.00128580153164632,4.6258836674459546e-4,0.0017483898983909154
Marinilabiliaceae,0.022150155632127903,-0.017074969392655917,-6.343036963236073e-4,-0.0010622784240932543,-0.0016965821204168617
Dietziaceae,0.024410124051639837,-0.015919598177768158,-6.990213599770309e-4,-9.903997644500012e-4,-0.001689421124427032
Enterococcaceae,-0.04992085123965397,0.003739952477144405,0.0014295601796587233,2.3267220761832727e-4,0.0016622323872770505
Streptomycetaceae,0.04222998576450211,0.04585454090332045,-0.0012093204450114145,0.002852730703532014,0.0016434102585205993
Unclassified_Gammaproteobacteria,0.039147705116123865,0.044385430233734924,-0.0011210546088320401,0.002761333493322247,0.001640278884490207
Aerococcaceae,0.02641615994308058,-0.012944795644582292,-7.564672760252716e-4,-8.053295324470979e-4,-0.0015617968084723696
Bifidobacteriaceae,-0.08029606565076712,-0.011857328992962194,0.002299401055613789,-7.376753929653708e-4,0.0015617256626484183
Thermoactinomycetaceae,0.10820656732114033,0.024736791534572693,-0.003098661100093359,0.0015389403825093436,-0.0015597207175840153
Atopobiaceae,0.0781435342272384,0.01109613509751645,-0.0022377600152042767,6.903195334561119e-4,-0.001547440481748165
Tannerellaceae,-0.06770133288138969,-0.007503712534977951,0.0019387315559269962,-4.6682554698654864e-4,0.0014719060089404476
Thermomonosporaceae,0.09615443960838489,0.066947526433722,-0.0027535299288397983,0.00416498040151941,0.0014114504726796119
UCG-011,0.07669476545251162,0.013296280689495564,-0.002196272298179187,8.271963347245537e-4,-0.0013690759634546333
Halomonadaceae,0.044425511026463825,0.04084471494805439,-0.0012721926799592457,0.002541056351539882,0.0012688636715806364
Butyricicoccaceae,-0.1341603671932256,-0.08214084912703619,0.0038418879859861395,-0.005110196671970578,-0.0012683086859844386
Caldalkalibacillaceae,0.01616935753943134,0.026877197084014908,-4.6303436530093547e-4,0.0016721005997662993,0.0012090662344653638
Peptococcaceae,-0.02986433105799522,-0.03221039458821617,8.552109471791764e-4,-0.0020038927400542754,-0.001148681792875099
Bacillaceae,-0.00283225938409506,0.017129549491027515,8.110609361466297e-5,0.0010656739945069835,0.0011467800881216465
Unclassified_Bradymonadales,-0.007744898721731815,0.014774987401513683,2.217870595780789e-4,9.191905397867507e-4,0.0011409775993648295
Carnobacteriaceae,-0.010720174875039972,-0.02235241693804885,3.0698865784086935e-4,-0.0013906022138955396,-0.0010836135560546704
Unclassified_Oscillospirales,-0.014282179468717026,-0.022159222189007562,4.0899212533858153e-4,-0.0013785830641778868,-9.695909388393053e-4
Synergistaceae,0.11512153621346022,0.037889758248428045,-0.0032966818454645236,0.0023572207806548777,-9.394610648096459e-4
