trajectory_global,bray_displacement,ecological_resistance,study,cow_global,cow_id,quarter,PC1,PC2,z_PC1,z_PC2
Italy__366_RR,0.35316217908578584,0.6468378209142142,Italy,Italy__366,366,RR,3.132424969734421,6.976719064131494,0.7748565155345327,1.795672209793937
Manitoba__MB001,0.4968322774258086,0.5031677225741914,Manitoba,Manitoba__1369,1369,LR,-10.220078139145286,2.978982657445702,-2.5281033741919696,0.7667323740947065
Manitoba__MB002,0.5840322039584033,0.4159677960415967,Manitoba,Manitoba__1369,1369,RR,-0.9248906732615946,4.59727342723131,-0.22878682530570815,1.1832490398738813
Manitoba__MB003,0.6904262753319357,0.3095737246680643,Manitoba,Manitoba__1618,1618,LF,-3.871611766784537,-2.0424979472456917,-0.9577064517422451,-0.5256993679573972
Manitoba__MB004,0.5078411745078412,0.49215882549215884,Manitoba,Manitoba__1618,1618,LR,-2.0131707364526896,-4.538089884514899,-0.4979906867988209,-1.168016343536804
Manitoba__MB005,0.3605737158105404,0.6394262841894596,Manitoba,Manitoba__1618,1618,RF,-7.79344615130338,-1.0165299473423006,-1.927836288866304,-0.26163509811514746
Manitoba__MB006,0.4617951284617951,0.5382048715382048,Manitoba,Manitoba__1618,1618,RR,-4.511165855457226,2.187146625509989,-1.1159106090430342,0.5629291330310693
Manitoba__MB007,0.30462360206977135,0.6953763979302287,Manitoba,Manitoba__1873,1873,LF,-4.026527713401693,-3.308998577434075,-0.9960274432284931,-0.8516720729510586
Manitoba__MB008,0.6257657973043935,0.3742342026956065,Manitoba,Manitoba__1873,1873,RF,-1.0111737121605893,-3.233660462647272,-0.2501303452677119,-0.8322815029972763
Manitoba__MB009,0.3994995829858215,0.6005004170141786,Manitoba,Manitoba__1943,1943,LF,-5.06520355220278,-0.01323036360375254,-1.2529608890411008,-0.0034052390572623017
Manitoba__MB010,0.41251042535446203,0.587489574645538,Manitoba,Manitoba__1943,1943,LR,7.829458340887801,-0.04582260266282646,1.9367444925767732,-0.011793849433481468
Manitoba__MB011,0.6978171896316507,0.30218281036834926,Manitoba,Manitoba__1943,1943,RF,1.6443019909195942,-0.7162724943923804,0.4067449734569299,-0.18435465166323042
Manitoba__MB012,0.57981220657277,0.42018779342723,Manitoba,Manitoba__1943,1943,RR,8.6116069446231709,-4.344870761752301,2.130221733875859,-1.1182854878213528
Manitoba__MB013,0.45639486409871605,0.5436051359012839,Manitoba,Manitoba__2196,2196,LF,-5.920191585119095,4.844180746764987,-1.4644561537035548,1.246798196433839
Manitoba__MB014,0.38607911867801703,0.613920881321983,Manitoba,Manitoba__2196,2196,RR,-1.0275093408062184,-1.3383208617233955,-0.2541712300179351,-0.3444578400095488
Manitoba__MB015,0.6224386966745046,0.3775613033254954,Manitoba,Manitoba__2260,2260,LF,2.7503587392129476,-0.4439994514443787,0.6803461885687818,-0.11427684973318801
Manitoba__MB016,0.672208228379513,0.327791771620487,Manitoba,Manitoba__2260,2260,LR,6.648968956468861,-0.5038204294113101,1.6447311483229383,-0.12967360954399548
Manitoba__MB017,0.48774387193596797,0.5122561280640321,Manitoba,Manitoba__2260,2260,RF,-7.198135696101153,3.4862909910734143,-1.7805765174635806,0.8973037025541758
Manitoba__MB018,0.6421895861148198,0.3578104138851802,Manitoba,Manitoba__2260,2260,RR,3.567450057825718,-2.3879661186291385,0.8824670815290646,-0.6146161767064979
Manitoba__MB019,0.8676691729323308,0.1323308270676692,Manitoba,Manitoba__2408,2408,LF,1.078719660993754,-1.6095732830121365,0.26683893974548395,-0.41427295371416584
Manitoba__MB020,0.5793160967472895,0.42068390325271054,Manitoba,Manitoba__2408,2408,LR,4.189754932308049,-5.775396836371327,1.0364043637626488,-1.4864751617879322
Manitoba__MB021,0.2861199265074328,0.7138800734925672,Manitoba,Manitoba__2408,2408,RF,-5.212461236122481,4.260974007466024,-1.289387484075356,1.0966920900108692
Manitoba__MB022,0.467003367003367,0.532996632996633,Manitoba,Manitoba__2408,2408,RR,3.960327521028283,1.6492835960318741,0.9796517436073382,0.4244936183097007
Manitoba__MB023,0.8558467741935484,0.14415322580645162,Manitoba,Manitoba__2443,2443,LR,1.9043255039831177,-1.8334909224355127,0.4710660394796325,-0.4719050123794476
Manitoba__MB024,0.5985997666277713,0.40140023337222874,Manitoba,Manitoba__2443,2443,RF,4.507095500956383,-2.784742281774147,1.114903740327586,-0.7167386676823978
Manitoba__MB025,0.7420973406924235,0.2579026593075765,Manitoba,Manitoba__2443,2443,RR,3.943375438307305,4.596987268919065,0.9754583688656779,1.1831753882728668
Manitoba__MB026,0.5577246718276675,0.4422753281723325,Manitoba,Manitoba__7215,7215,LF,2.7871346647135082,6.271149720416832,0.6894433148413188,1.6140723415830067
Manitoba__MB027,0.5364548494983278,0.4635451505016722,Manitoba,Manitoba__7215,7215,LR,2.7323511166651953,-0.40922778721743913,0.675891708798243,-0.10532729757741777
Manitoba__MB028,0.593452480374144,0.406547519625856,Manitoba,Manitoba__7215,7215,RF,6.31193751316991,-1.7342481522389523,1.5613609120671785,-0.44636184763011366
Manitoba__MB029,0.5439065108514191,0.45609348914858094,Manitoba,Manitoba__7215,7215,RR,-3.6716007237448762,3.2084901249940287,-0.9082304510796407,0.8258031461336001
