sample_number,run_accession,sample_accession,secondary_sample_accession,experiment_accession,sample_alias,sample_title,cow_id,quarter,anatomical_code,treatment,timepoint,phase,fastq_r1,fastq_r2
27,ERR4153699,SAMEA6838753,ERS4566363,ERX4119449,355_S27,355_S27,355,RR,PD,cephalonium,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153699/ERR4153699_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153699/ERR4153699_2.fastq.gz
28,ERR4153700,SAMEA6838754,ERS4566364,ERX4119450,355_S28,355_S28,355,RL,PS,cloxacillin,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153700/ERR4153700_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153700/ERR4153700_2.fastq.gz
29,ERR4153701,SAMEA6838755,ERS4566365,ERX4119451,366_S29,366_S29,366,FL,AS,untreated_control,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153701/ERR4153701_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153701/ERR4153701_2.fastq.gz
30,ERR4153702,SAMEA6838756,ERS4566366,ERX4119452,366_S30,366_S30,366,FR,AD,teat_sealant,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153702/ERR4153702_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153702/ERR4153702_2.fastq.gz
31,ERR4153703,SAMEA6838757,ERS4566367,ERX4119453,366_S31,366_S31,366,RR,PD,cephalonium,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153703/ERR4153703_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153703/ERR4153703_2.fastq.gz
32,ERR4153704,SAMEA6838758,ERS4566368,ERX4119454,366_S32,366_S32,366,RL,PS,cloxacillin,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153704/ERR4153704_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153704/ERR4153704_2.fastq.gz
33,ERR4153705,SAMEA6838759,ERS4566369,ERX4119455,321_S33,321_S33,321,FL,AS,untreated_control,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153705/ERR4153705_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153705/ERR4153705_2.fastq.gz
34,ERR4153706,SAMEA6838760,ERS4566370,ERX4119456,321_S34,321_S34,321,FR,AD,teat_sealant,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153706/ERR4153706_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153706/ERR4153706_2.fastq.gz
35,ERR4153707,SAMEA6838761,ERS4566371,ERX4119457,321_S35,321_S35,321,RR,PD,cephalonium,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153707/ERR4153707_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153707/ERR4153707_2.fastq.gz
36,ERR4153708,SAMEA6838762,ERS4566372,ERX4119458,321_S36,321_S36,321,RL,PS,cloxacillin,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153708/ERR4153708_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153708/ERR4153708_2.fastq.gz
37,ERR4153709,SAMEA6838763,ERS4566373,ERX4119459,365_S37,365_S37,365,FL,AS,untreated_control,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153709/ERR4153709_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153709/ERR4153709_2.fastq.gz
38,ERR4153710,SAMEA6838764,ERS4566374,ERX4119460,365_S38,365_S38,365,FR,AD,teat_sealant,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153710/ERR4153710_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153710/ERR4153710_2.fastq.gz
39,ERR4153711,SAMEA6838765,ERS4566375,ERX4119461,365_S39,365_S39,365,RR,PD,cephalonium,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153711/ERR4153711_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153711/ERR4153711_2.fastq.gz
40,ERR4153712,SAMEA6838766,ERS4566376,ERX4119462,365_S40,365_S40,365,RL,PS,cloxacillin,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153712/ERR4153712_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153712/ERR4153712_2.fastq.gz
41,ERR4153713,SAMEA6838767,ERS4566377,ERX4119463,270_S41,270_S41,270,FL,AS,untreated_control,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153713/ERR4153713_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153713/ERR4153713_2.fastq.gz
42,ERR4153714,SAMEA6838768,ERS4566378,ERX4119464,270_S42,270_S42,270,FR,AD,teat_sealant,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153714/ERR4153714_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153714/ERR4153714_2.fastq.gz
43,ERR4153715,SAMEA6838769,ERS4566379,ERX4119465,270_S43,270_S43,270,RR,PD,cephalonium,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153715/ERR4153715_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153715/ERR4153715_2.fastq.gz
44,ERR4153716,SAMEA6838770,ERS4566380,ERX4119466,270_S44,270_S44,270,RL,PS,cloxacillin,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153716/ERR4153716_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153716/ERR4153716_2.fastq.gz
45,ERR4153717,SAMEA6838771,ERS4566381,ERX4119467,355_S45,355_S45,355,FL,AS,untreated_control,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153717/ERR4153717_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153717/ERR4153717_2.fastq.gz
46,ERR4153718,SAMEA6838772,ERS4566382,ERX4119468,355_S46,355_S46,355,FR,AD,teat_sealant,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153718/ERR4153718_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153718/ERR4153718_2.fastq.gz
47,ERR4153719,SAMEA6838773,ERS4566383,ERX4119469,355_S47,355_S47,355,RR,PD,cephalonium,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153719/ERR4153719_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153719/ERR4153719_2.fastq.gz
48,ERR4153720,SAMEA6838774,ERS4566384,ERX4119470,355_S48,355_S48,355,RL,PS,cloxacillin,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153720/ERR4153720_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153720/ERR4153720_2.fastq.gz
49,ERR4153721,SAMEA6838775,ERS4566385,ERX4119471,366_S49,366_S49,366,FL,AS,untreated_control,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153721/ERR4153721_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153721/ERR4153721_2.fastq.gz
50,ERR4153722,SAMEA6838776,ERS4566386,ERX4119472,366_S50,366_S50,366,FR,AD,teat_sealant,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153722/ERR4153722_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153722/ERR4153722_2.fastq.gz
51,ERR4153723,SAMEA6838777,ERS4566387,ERX4119473,366_S51,366_S51,366,RR,PD,cephalonium,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153723/ERR4153723_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153723/ERR4153723_2.fastq.gz
52,ERR4153724,SAMEA6838778,ERS4566388,ERX4119474,366_S52,366_S52,366,RL,PS,cloxacillin,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153724/ERR4153724_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153724/ERR4153724_2.fastq.gz
53,ERR4153725,SAMEA6838779,ERS4566389,ERX4119475,321_S53,321_S53,321,FL,AS,untreated_control,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153725/ERR4153725_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153725/ERR4153725_2.fastq.gz
54,ERR4153726,SAMEA6838780,ERS4566390,ERX4119476,321_S54,321_S54,321,FR,AD,teat_sealant,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153726/ERR4153726_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153726/ERR4153726_2.fastq.gz
55,ERR4153727,SAMEA6838781,ERS4566391,ERX4119477,321_S55,321_S55,321,RR,PD,cephalonium,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153727/ERR4153727_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153727/ERR4153727_2.fastq.gz
56,ERR4153728,SAMEA6838782,ERS4566392,ERX4119478,321_S56,321_S56,321,RL,PS,cloxacillin,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153728/ERR4153728_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153728/ERR4153728_2.fastq.gz
57,ERR4153729,SAMEA6838783,ERS4566393,ERX4119479,365_S57,365_S57,365,FL,AS,untreated_control,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153729/ERR4153729_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153729/ERR4153729_2.fastq.gz
58,ERR4153730,SAMEA6838784,ERS4566394,ERX4119480,365_S58,365_S58,365,FR,AD,teat_sealant,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153730/ERR4153730_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153730/ERR4153730_2.fastq.gz
59,ERR4153731,SAMEA6838785,ERS4566395,ERX4119481,365_S59,365_S59,365,RR,PD,cephalonium,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153731/ERR4153731_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153731/ERR4153731_2.fastq.gz
60,ERR4153732,SAMEA6838786,ERS4566396,ERX4119482,365_S60,365_S60,365,RL,PS,cloxacillin,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153732/ERR4153732_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153732/ERR4153732_2.fastq.gz
