run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	study_title	study_alias	experiment_alias	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
ERR4153700	PRJEB38332	ERP121748	SAMEA6838754	ERS4566364	ERX4119450	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153700/ERR4153700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153700/ERR4153700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153700/355_S28_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153700/355_S28_L001_R2_001.fastq.gz	355_S28	355_S28	
ERR4153706	PRJEB38332	ERP121748	SAMEA6838760	ERS4566370	ERX4119456	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-34	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153706/ERR4153706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153706/ERR4153706_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153706/321_S34_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153706/321_S34_L001_R2_001.fastq.gz	321_S34	321_S34	
ERR4153709	PRJEB38332	ERP121748	SAMEA6838763	ERS4566373	ERX4119459	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-37	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153709/ERR4153709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153709/ERR4153709_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153709/365_S37_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153709/365_S37_L001_R2_001.fastq.gz	365_S37	365_S37	
ERR4153715	PRJEB38332	ERP121748	SAMEA6838769	ERS4566379	ERX4119465	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:941-43	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153715/ERR4153715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153715/ERR4153715_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153715/270_S43_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153715/270_S43_L001_R2_001.fastq.gz	270_S43	270_S43	
ERR4153719	PRJEB38332	ERP121748	SAMEA6838773	ERS4566383	ERX4119469	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:941-47	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153719/ERR4153719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153719/ERR4153719_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153719/355_S47_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153719/355_S47_L001_R2_001.fastq.gz	355_S47	355_S47	
ERR4153724	PRJEB38332	ERP121748	SAMEA6838778	ERS4566388	ERX4119474	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:941-52	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153724/ERR4153724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153724/ERR4153724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153724/366_S52_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153724/366_S52_L001_R2_001.fastq.gz	366_S52	366_S52	
ERR4153676	PRJEB38332	ERP121748	SAMEA6838730	ERS4566340	ERX4119426	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153676/ERR4153676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153676/ERR4153676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153676/270PS_S4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153676/270PS_S4_L001_R2_001.fastq.gz	270PS_S4	270PS_S4	
ERR4153678	PRJEB38332	ERP121748	SAMEA6838732	ERS4566342	ERX4119428	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153678/ERR4153678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153678/ERR4153678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153678/355_S6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153678/355_S6_L001_R2_001.fastq.gz	355_S6	355_S6	
ERR4153679	PRJEB38332	ERP121748	SAMEA6838733	ERS4566343	ERX4119429	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153679/ERR4153679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153679/ERR4153679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153679/355_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153679/355_S7_L001_R2_001.fastq.gz	355_S7	355_S7	
ERR4153689	PRJEB38332	ERP121748	SAMEA6838743	ERS4566353	ERX4119439	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153689/ERR4153689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153689/ERR4153689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153689/365_S17_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153689/365_S17_L001_R2_001.fastq.gz	365_S17	365_S17	
ERR4153690	PRJEB38332	ERP121748	SAMEA6838744	ERS4566354	ERX4119440	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153690/ERR4153690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153690/ERR4153690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153690/365_S18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153690/365_S18_L001_R2_001.fastq.gz	365_S18	365_S18	
ERR4153693	PRJEB38332	ERP121748	SAMEA6838747	ERS4566357	ERX4119443	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153693/ERR4153693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153693/ERR4153693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153693/270_S21_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153693/270_S21_L001_R2_001.fastq.gz	270_S21	270_S21	
ERR4153694	PRJEB38332	ERP121748	SAMEA6838748	ERS4566358	ERX4119444	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153694/ERR4153694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153694/ERR4153694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153694/270_S22_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153694/270_S22_L001_R2_001.fastq.gz	270_S22	270_S22	
