study,PC2_tertile,family,PC2_loading,PC2_side,n_quarters,prevalence,median_relative_abundance,mean_relative_abundance,q25_relative_abundance,q75_relative_abundance
Manitoba,High_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,10,1,0.017333333333333333,0.020033333333333334,0.011416666666666667,0.023833333333333335
Manitoba,High_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,10,1,0.017333333333333333,0.0186,0.01575,0.024
Manitoba,High_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,10,0.8,0.0011666666666666668,0.0024000000000000002,3.333333333333333e-4,0.003
Manitoba,High_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,10,0.1,0,3.3333333333333335e-5,0,0
Manitoba,High_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,10,0.9,0.0013333333333333335,0.0033333333333333335,6.666666666666666e-4,0.006
Manitoba,High_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,10,0.9,0.0018333333333333335,0.0038,8.333333333333333e-4,0.0030833333333333333
Manitoba,High_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,10,1,0.029,0.04716666666666667,0.019666666666666666,0.0645
Manitoba,High_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,10,0.6,5e-4,0.002033333333333333,0,0.0013333333333333333
Manitoba,High_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,10,0.6,0.0015,0.0040999999999999995,0,0.006916666666666667
Manitoba,High_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,10,0.1,0,6.666666666666667e-5,0,0
Manitoba,High_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,10,1,0.0025,0.0051333333333333335,0.00175,0.006166666666666667
Manitoba,High_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,10,1,0.016666666666666666,0.014666666666666666,0.007666666666666667,0.020666666666666667
Manitoba,High_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,10,1,0.010333333333333333,0.011766666666666667,0.007,0.018000000000000002
Manitoba,High_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,10,0.6,6.666666666666666e-4,7.666666666666667e-4,0,9.166666666666666e-4
Manitoba,High_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,10,0.2,0,3.333333333333333e-4,0,0
Manitoba,High_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,10,0.9,0.0011666666666666665,0.0018,6.666666666666666e-4,0.0030833333333333333
Manitoba,High_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,10,0.9,0.0033333333333333335,0.0035,0.001,0.004333333333333334
Manitoba,High_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,10,0.9,0.0045000000000000005,0.004733333333333333,0.002666666666666667,0.00625
Manitoba,High_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,10,0.7,0.0013333333333333333,0.0012666666666666668,2.5e-4,0.0018333333333333333
