study,trajectory_global,cow_global,cow_id,quarter,z_PC2,ecological_resistance,bray_displacement,PC2_tertile
Manitoba,Manitoba__MB002,Manitoba__1369,1369,RR,1.1832490398738813,0.4159677960415967,0.5840322039584033,High_PC2
Manitoba,Manitoba__MB003,Manitoba__1618,1618,LF,-0.5256993679573972,0.3095737246680643,0.6904262753319357,Low_PC2
Manitoba,Manitoba__MB004,Manitoba__1618,1618,LR,-1.168016343536804,0.4921588254921589,0.5078411745078412,Low_PC2
Manitoba,Manitoba__MB005,Manitoba__1618,1618,RF,-0.26163509811514746,0.6394262841894596,0.3605737158105404,Mid_PC2
Manitoba,Manitoba__MB006,Manitoba__1618,1618,RR,0.5629291330310693,0.5382048715382048,0.4617951284617951,High_PC2
Manitoba,Manitoba__MB007,Manitoba__1873,1873,LF,-0.8516720729510586,0.6953763979302287,0.30462360206977135,Low_PC2
Manitoba,Manitoba__MB008,Manitoba__1873,1873,RF,-0.8322815029972763,0.3742342026956065,0.6257657973043935,Low_PC2
Manitoba,Manitoba__MB009,Manitoba__1943,1943,LF,-0.0034052390572623,0.6005004170141786,0.3994995829858215,Mid_PC2
Manitoba,Manitoba__MB010,Manitoba__1943,1943,LR,-0.01179384943348146,0.587489574645538,0.412510425354462,Mid_PC2
Manitoba,Manitoba__MB011,Manitoba__1943,1943,RF,-0.1843546516632304,0.30218281036834926,0.6978171896316507,Mid_PC2
Manitoba,Manitoba__MB012,Manitoba__1943,1943,RR,-1.1182854878213528,0.42018779342723,0.57981220657277,Low_PC2
Manitoba,Manitoba__MB013,Manitoba__2196,2196,LF,1.246798196433839,0.5436051359012839,0.4563948640987161,High_PC2
Manitoba,Manitoba__MB014,Manitoba__2196,2196,RR,-0.3444578400095488,0.613920881321983,0.38607911867801703,Mid_PC2
Manitoba,Manitoba__MB015,Manitoba__2260,2260,LF,-0.114276849733188,0.3775613033254954,0.6224386966745046,Mid_PC2
Manitoba,Manitoba__MB016,Manitoba__2260,2260,LR,-0.12967360954399548,0.327791771620487,0.672208228379513,Mid_PC2
Manitoba,Manitoba__MB017,Manitoba__2260,2260,RF,0.8973037025541758,0.5122561280640321,0.487743871935968,High_PC2
Manitoba,Manitoba__MB018,Manitoba__2260,2260,RR,-0.6146161767064979,0.3578104138851802,0.6421895861148198,Low_PC2
Manitoba,Manitoba__MB019,Manitoba__2408,2408,LF,-0.41427295371416584,0.1323308270676692,0.8676691729323308,Mid_PC2
Manitoba,Manitoba__MB020,Manitoba__2408,2408,LR,-1.4864751617879322,0.42068390325271054,0.5793160967472895,Low_PC2
Manitoba,Manitoba__MB021,Manitoba__2408,2408,RF,1.0966920900108692,0.7138800734925672,0.2861199265074328,High_PC2
Manitoba,Manitoba__MB022,Manitoba__2408,2408,RR,0.4244936183097007,0.532996632996633,0.467003367003367,High_PC2
Manitoba,Manitoba__MB023,Manitoba__2443,2443,LR,-0.4719050123794476,0.14415322580645162,0.8558467741935484,Low_PC2
Manitoba,Manitoba__MB024,Manitoba__2443,2443,RF,-0.7167386676823978,0.40140023337222874,0.5985997666277713,Low_PC2
